,x1,x2,y1,y2,z1,z2
6,1.5166667,1.5176667,42.5,42.501,20430.0,20431.0
20,1.6,1.601,42.5666667,42.5676667,3292.0,3293.0
32,1.5833333,1.5843333,42.5333333,42.5343333,11224.0,11225.0
49,1.5166667,1.5176667,42.55,42.550999999999995,7211.0,7212.0
53,1.5333333,1.5343333,42.5,42.501,15854.0,15855.0
66,1.5333333,1.5343333,42.55,42.550999999999995,2553.0,2554.0
80,1.5,1.501,42.466666700000005,42.4676667,8020.0,8021.0
93,54.36666700000001,54.367667000000004,24.466667,24.467667000000002,603687.0,603688.0
242,55.304717,55.305716999999994,25.258172,25.259172,1137376.0,1137377.0
490,55.403304000000006,55.404304,25.35731,25.35831,543942.0,543943.0
1384,70.668152,70.66915200000001,34.082481,34.083481,15098.0,15099.0
3717,61.653969,61.654968999999994,32.758697999999995,32.75969799999999,10023.0,10024.0
3784,69.260195,69.261195,35.633484,35.634484,27034.0,27035.0
4547,71.14697,71.14797,34.873113000000004,34.874113,48400.0,48401.0
4799,71.358087,71.359087,35.033328000000004,35.034328,15708.0,15709.0
5410,68.015512,68.016512,36.26468,36.265679999999996,47877.0,47878.0
5678,69.645728,69.64672800000001,34.173553000000005,34.174553,12526.0,12527.0
6644,68.708286,68.709286,36.130684,36.131684,108481.0,108482.0
6651,69.274274,69.27527400000001,34.493761,34.494761,30256.0,30257.0
7935,68.948611,68.949611,33.9675,33.9685,22305.0,22306.0
11059,69.814644,69.815644,37.397734,37.398734,23424.0,23425.0
11524,69.174011,69.175011,35.016585,35.017585,53693.0,53694.0
14630,65.982341,65.98334100000001,35.416737,35.417736999999995,12778.0,12779.0
18389,64.920713,64.92171300000001,36.432589,36.433589,13603.0,13604.0
18390,66.82066,66.82166000000001,36.98782,36.98882,17674.0,17675.0
19611,65.459659,65.460659,32.624131,32.625130999999996,25683.0,25684.0
22872,71.570658,71.571658,36.706932,36.707932,12120.0,12121.0
23231,62.116383,62.117383,32.374508,32.375507999999996,43574.0,43575.0
24373,68.260739,68.261739,34.508977,34.509977,6815.0,6816.0
24457,69.225922,69.226922,33.597439,33.598439,103732.0,103733.0
25037,68.4225,68.4235,33.550833000000004,33.551833,143049.0,143050.0
25187,64.570048,64.571048,31.820894,31.821894,43638.0,43639.0
29709,62.199673,62.200672999999995,34.348167,34.349166999999994,272880.0,272881.0
30969,70.45153,70.45253000000001,34.426468,34.427468,200389.0,200390.0
32582,70.83420699999999,70.835207,36.864768,36.865767999999996,12121.0,12122.0
32756,69.18333299999999,69.184333,34.516667,34.517666999999996,3043589.0,3043590.0
40647,67.698255,67.69925500000001,36.697362,36.698361999999996,64954.0,64955.0
40903,69.92041,69.92141000000001,33.339512,33.340512,96246.0,96247.0
44398,61.197778,61.198778,34.653889,34.654889,12087.0,12088.0
45272,61.952206,61.953205999999994,33.29565,33.29665,16952.0,16953.0
46301,66.664088,66.66508800000001,35.489360999999995,35.49036099999999,11635.0,11636.0
49564,70.20944399999999,70.210444,34.671389000000005,34.672389,17350.0,17351.0
50172,61.838304,61.839304,30.436244,30.437244,14160.0,14161.0
53427,69.13343,69.13443000000001,36.064904,36.065903999999996,22389.0,22390.0
56128,70.4,70.40100000000001,34.95,34.951,17072.0,17073.0
56562,69.152798,69.15379800000001,32.901111,32.902111,10665.0,10666.0
56920,68.953333,68.954333,34.5875,34.588499999999996,49173.0,49174.0
57325,67.023273,67.02427300000001,34.387949,34.388949,13471.0,13472.0
63360,65.710126,65.71112600000001,31.613323,31.614323000000002,391230.0,391231.0
63616,66.788912,66.789912,37.039988,37.040988,8942.0,8943.0
63793,66.074375,66.07537500000001,37.404464,37.405463999999995,15023.0,15024.0
66589,68.857001,68.858001,36.728955,36.729955,161943.0,161944.0
67917,69.83045,69.83145,37.126035,37.127035,25644.0,25645.0
67989,62.6,62.601,30.15,30.151,11034.0,11035.0
69071,64.305199,64.306199,34.107375,34.108374999999995,15967.0,15968.0
70277,64.835903,64.836903,32.072752,32.073752,13579.0,13580.0
71418,65.932487,65.933487,36.215443,36.216443,52138.0,52139.0
75671,68.791667,68.79266700000001,33.146667,33.147667,7368.0,7369.0
76853,65.752904,65.753904,36.667567,36.668566999999996,55658.0,55659.0
78759,62.1474,62.148399999999995,33.302944000000004,33.303944,29273.0,29274.0
81828,69.64917,69.65017,34.855007,34.856007,6400.0,6401.0
82607,69.533559,69.534559,36.734133,36.735133,64275.0,64276.0
83641,64.42115600000001,64.42215600000002,33.521176000000004,33.522176,14398.0,14399.0
84011,61.268951,61.269951,34.594307,34.595307,6979.0,6980.0
84139,66.42132,66.42232,35.948308000000004,35.949308,12021.0,12022.0
85454,66.63253399999999,66.633534,32.927751,32.928751,13400.0,13401.0
88112,61.88333299999999,61.88433299999999,30.966667,30.967667000000002,33894.0,33895.0
89289,-61.8,-61.799,17.05,17.051000000000002,2526.0,2527.0
89312,-61.8,-61.799,17.1333333,17.1343333,831.0,832.0
89328,-61.8333333,-61.8323333,17.6333333,17.6343333,682.0,683.0
89352,-61.7,-61.699000000000005,17.05,17.051000000000002,623.0,624.0
89380,-61.7833333,-61.782333300000005,17.033333300000002,17.034333300000004,1668.0,1669.0
89401,-61.8333333,-61.8323333,17.0166667,17.0176667,623.0,624.0
89409,-61.7666667,-61.765666700000004,17.0833333,17.0843333,969.0,970.0
89445,-61.8,-61.799,17.05,17.051000000000002,727.0,728.0
89505,-63.05,-63.049,18.2166667,18.217666700000002,1379.0,1380.0
89938,20.0730556,20.0740556,42.3572222,42.3582222,7967.0,7968.0
90044,19.7347222,19.7357222,40.5988889,40.599888899999996,10361.0,10362.0
90345,19.9522222,19.953222200000003,40.7058333,40.7068333,47606.0,47607.0
90488,20.99,20.991,40.6275,40.628499999999995,7114.0,7115.0
91096,20.2219444,20.222944400000003,41.4916667,41.4926667,11212.0,11213.0
91168,20.0088889,20.0098889,41.6102778,41.611277799999996,15539.0,15540.0
91548,19.9758333,19.976833300000003,41.0316667,41.0326667,14269.0,14270.0
91749,20.2272222,20.2282222,40.5041667,40.5051667,14046.0,14047.0
92023,20.097777800000003,20.098777800000004,39.951111100000006,39.9521111,3916.0,3917.0
92530,19.4413889,19.4423889,41.3230556,41.3240556,122034.0,122035.0
92635,20.0822222,20.0832222,41.1125,41.113499999999995,100903.0,100904.0
92673,20.6788889,20.6798889,40.3377778,40.338777799999995,7890.0,7891.0
92787,19.5561111,19.5571111,40.7238889,40.724888899999996,59719.0,59720.0
92814,20.0269444,20.027944400000003,42.2647222,42.2657222,742.0,743.0
92816,20.0169444,20.0179444,42.2605556,42.2615556,742.0,743.0
93000,20.0166667,20.0176667,42.0622222,42.0632222,2438.0,2439.0
93033,19.7177778,19.7187778,41.4783333,41.4793333,10458.0,10459.0
93406,20.1388889,20.139888900000003,40.0758333,40.0768333,23437.0,23438.0
93886,20.1844444,20.1854444,40.8697222,40.870722199999996,11556.0,11557.0
94466,19.7447222,19.7457222,40.1016667,40.1026667,4596.0,4597.0
95085,19.7602778,19.761277800000002,41.3816667,41.382666699999994,11026.0,11027.0
95321,19.5569444,19.5579444,41.1855556,41.1865556,29354.0,29355.0
95354,20.1894444,20.1904444,40.313055600000006,40.3140556,2486.0,2487.0
95415,19.9713889,19.972388900000002,41.2155556,41.2165556,1177.0,1178.0
95508,20.1080556,20.1090556,41.4844444,41.4854444,683.0,684.0
95750,20.1813889,20.182388900000003,39.6588889,39.6598889,1349.0,1350.0
95770,19.4363889,19.437388900000002,42.2136111,42.2146111,4078.0,4079.0
95790,20.7808333,20.781833300000002,40.6186111,40.6196111,58259.0,58260.0
96022,20.205,20.206,41.4225,41.4235,1168.0,1169.0
96121,19.792777800000003,19.793777800000004,41.5091667,41.5101667,21286.0,21287.0
96211,19.9166667,19.9176667,40.8002778,40.8012778,18166.0,18167.0
96230,20.4219444,20.422944400000002,42.0769444,42.0779444,17972.0,17973.0
96353,20.0836111,20.0846111,41.7797222,41.7807222,1429.0,1430.0
96491,19.7130556,19.714055600000002,41.6355556,41.6365556,24825.0,24826.0
96796,20.5972222,20.598222200000002,40.15138889999999,40.15238889999999,2655.0,2656.0
96846,19.6436111,19.644611100000002,41.7836111,41.7846111,18695.0,18696.0
